Time,Temperature,Humidity,AirQuality
2024-01-08 16:57:38,27.7,34.9,High
2024-01-08 16:57:41,27.7,34.8,High
2024-01-08 16:57:43,27.7,34.8,High
2024-01-08 16:57:45,27.7,34.8,High
2024-01-08 16:57:47,27.7,34.9,High
2024-01-08 16:57:50,27.7,34.9,High
2024-01-08 16:57:54,27.7,34.9,High
2024-01-08 16:57:56,27.7,34.9,High
2024-01-08 16:57:59,27.7,34.9,High
2024-01-08 16:58:01,27.7,34.9,High
2024-01-08 16:58:03,27.7,35.0,High
2024-01-08 16:58:05,27.7,34.9,High
2024-01-08 16:58:08,27.7,34.9,High
2024-01-08 16:58:10,27.7,34.9,High
2024-01-08 16:58:12,27.7,34.9,High
2024-01-08 16:58:14,27.7,34.9,High
2024-01-08 16:58:17,27.7,34.8,High
2024-01-08 16:58:19,27.7,34.8,High
2024-01-08 16:58:21,27.6,34.8,High
2024-01-08 16:58:26,27.7,34.9,High
2024-01-08 16:58:28,27.7,34.9,High
2024-01-08 16:58:30,27.7,34.8,High
2024-01-08 16:58:33,27.7,34.9,High
2024-01-08 16:58:35,27.7,34.9,High
2024-01-08 16:58:37,27.7,34.9,High
2024-01-08 16:58:42,27.7,35.0,High
2024-01-08 16:58:44,27.7,35.0,High
2024-01-08 16:58:46,27.7,34.9,High
2024-01-08 16:58:48,27.7,35.0,High
2024-01-08 16:58:51,27.7,34.9,High
2024-01-08 16:58:53,27.7,34.9,High
2024-01-08 16:58:55,27.7,35.0,High
2024-01-08 16:58:57,27.7,34.9,High
2024-01-08 16:59:00,27.7,34.9,High
2024-01-08 16:59:02,27.7,34.8,High
2024-01-08 16:59:04,27.7,34.8,High
2024-01-08 16:59:06,27.7,34.8,High
2024-01-08 16:59:09,27.7,34.8,High
2024-01-08 16:59:11,27.7,34.9,High
2024-01-08 16:59:15,27.7,34.8,High
2024-01-08 16:59:18,27.7,34.8,High
2024-01-08 16:59:20,27.7,34.8,High
2024-01-08 16:59:22,27.7,34.8,High
2024-01-08 16:59:24,27.7,34.9,High
2024-01-08 16:59:27,27.7,34.9,High
2024-01-08 16:59:29,27.7,34.8,High
2024-01-08 16:59:31,27.7,34.8,High
2024-01-08 16:59:34,27.7,34.8,High
2024-01-08 16:59:36,27.7,34.9,High
2024-01-08 16:59:38,27.7,34.9,High
2024-01-08 16:59:40,27.7,34.8,High
2024-01-08 16:59:43,27.7,34.8,High
